"Fecha;Hora;Texto_aviso_WinCC;Lugar_de_averia;Nombre_de_usuario"
"22/11/18;02:31:45 PM;Pozo 7:    Fallo Comunicación;Pozo 7;"
"22/11/18;02:30:42 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:29:31 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:28:57 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;02:27:25 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:27:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:26:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:21:09 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:21:01 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:20:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:16:41 PM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;02:14:16 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:14:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:13:45 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:11:53 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;02:11:43 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;02:11:03 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:10:21 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;02:08:13 PM;Tunel Media Poble Nou:     Fallo Comunicación;MPoble Nou;"
"22/11/18;02:08:11 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:08:01 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:08:00 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:07:29 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión establecida (Usuario=operador);;"
"22/11/18;02:06:01 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:05:06 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión desconectada (Usuario=operador);;"
"22/11/18;02:00:59 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:58:41 PM;Tunel Media Poble Nou:     Fallo Comunicación;MPoble Nou;"
"22/11/18;01:56:22 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión establecida (Usuario=operador);;"
"22/11/18;01:56:21 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión desconectada (Usuario=operador);;"
"22/11/18;01:55:45 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;01:55:24 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión establecida (Usuario=operador);;"
"22/11/18;01:51:05 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:45:53 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:41:01 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:37:09 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;01:28:23 PM;Tunel Forum:    Fallo Comunicación;Forum;"
"22/11/18;01:28:05 PM;Tunel Forum:    Fallo Comunicación;Forum;"
"22/11/18;01:26:37 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;01:23:47 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:23:07 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:18:31 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:18:15 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:15:53 PM;Tunel Poble Nou:     Fallo Comunicación;Poble Nou;"
"22/11/18;01:14:23 PM;AM:ESCADARONDAS:Backup de medios 'Backup successful: ESCADARONDAS_UTE#RONDAS#SCADA#WINCC74_ALG_201811221156 !' finalizado con óxito;;"
"22/11/18;01:13:25 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:13:13 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:10:55 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;01:08:25 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;01:02:59 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:59:21 PM;Tunel Poble Nou:     Fallo Comunicación;Poble Nou;"
"22/11/18;12:58:15 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador2):    Frecuencia excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador2):    Tensión UL-N excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador2):    Tensión UL-L excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador2):    Corriente UL1 excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador2):    Corriente UL2 excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador2):    Corriente UL3 excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador1):    Potencia Reactiva excesiva.;VilaOlimp1;"
"22/11/18;12:58:11 PM;Tunel Vila Olimpica 1 (Analizador1):    Factor de potencia excesivo.;VilaOlimp1;"
"22/11/18;12:58:10 PM;Tunel Vila Olimpica 1 (Analizador2):    Potencia Aparente excesiva.;VilaOlimp1;"
"22/11/18;12:58:10 PM;Tunel Vila Olimpica 1 (Analizador2):    Potencia Aparente bajo mónimos.;VilaOlimp1;"
"22/11/18;12:58:10 PM;Tunel Vila Olimpica 1 (Analizador2):    Potencia Activa excesiva.;VilaOlimp1;"
"22/11/18;12:58:10 PM;Tunel Vila Olimpica 1 (Analizador2):    Potencia Reactiva excesiva.;VilaOlimp1;"
"22/11/18;12:58:10 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:58:04 PM;Tunel Vila Olimpica 1 (Analizador2):    Factor de potencia excesivo.;VilaOlimp1;"
"22/11/18;12:57:57 PM;AM:ESCADARONDAS:Backup de medios 'Backup successful: ESCADARONDAS_UTE#RONDAS#SCADA#WINCC74_ALG_201811220754_201811221151 !' finalizado con óxito;;"
"22/11/18;12:56:00 PM;WCCRT:ESCADARONDAS:Runtime activado en ESCADARONDAS;;"
"22/11/18;12:55:56 PM;REDRT:ESCADARONDAS:RedundancyControl: cambio al estado Standalone;;"
"22/11/18;12:51:25 PM;WCCRT:ESCADARONDAS:Runtime desactivado en ESCADARONDAS;;"
"22/11/18;12:49:29 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;12:49:17 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;12:48:02 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:43:09 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:43:00 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:38:13 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:37:58 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:36:45 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;12:33:06 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:32:56 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:28:35 PM;Tunel San Feliu:    Fallo Comunicación;San Feliu;"
"22/11/18;12:28:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:27:54 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:23:00 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:13:16 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:12:58 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;12:12:26 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;12:12:14 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;12:08:30 PM;Tunel Collserola:    Fallo Comunicacion;Collserola;"
"22/11/18;12:07:14 PM;Tunel Collserola:    Fallo Comunicacion;Collserola;"
"22/11/18;12:02:44 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:58:10 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:54:24 AM;Pozo 9:    Fallo Comunicación;Pozo 9;"
"22/11/18;11:51:15 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:50:57 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:48:26 AM;Pozo 9:    Fallo Comunicación;Pozo 9;"
"22/11/18;11:47:28 AM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;11:47:16 AM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;11:44:30 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:44:16 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:44:07 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:42:51 AM;Tunel Vila Olimpica 1 (Analizador1):    Potencia Reactiva excesiva.;VilaOlimp1;"
"22/11/18;11:42:48 AM;Tunel Vila Olimpica 1 (Analizador2):    Potencia Reactiva excesiva.;VilaOlimp1;"
"22/11/18;11:39:05 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:37:48 AM;Pozo 9:    Fallo Comunicación;Pozo 9;"
"22/11/18;11:37:29 AM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;11:34:20 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:34:12 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
